15:51:02: Всего строк:  68
15:51:02: {'Kodeks': '1700778047', 'KodeksData': 'XzIzMTc0NDY0ODlfMTc5MzIwNQ=='}
15:51:03: {'Kodeks': '1700782579', 'KodeksData': 'XzIzMTc0NDY0ODlfMTc5MzIwNQ=='}
15:51:03: {'Kodeks': '1700778314', 'KodeksData': 'XzIzMTc0NDY0ODlfMTc5MzIwNQ=='}
15:51:04: {'Kodeks': '1700786532', 'KodeksData': 'XzIzMTc0NDY0ODlfMTc5MzIwNQ=='}
15:51:04: {'Kodeks': '1700778905', 'KodeksData': 'XzIzMTc0NDY0ODlfMTc5MzIwNQ=='}
15:51:04: {'Kodeks': '1700753545', 'KodeksData': 'XzIzMTc0NDY0ODlfMTc5MzIwNQ=='}
15:51:05: {'Kodeks': '1700780350', 'KodeksData': 'XzIzMTc0NDY0ODlfMTc5MzIwNQ=='}
15:51:05: {'Kodeks': '1700785406', 'KodeksData': 'XzIzMTc0NDY0ODlfMTc5MzIwNQ=='}
15:51:06: {'Kodeks': '1699263739', 'KodeksData': 'XzIzMTc0NDY0ODlfMTc5MzIwNQ=='}
15:51:29: {'Kodeks': '1700781767', 'KodeksData': 'XzIzMTc0NDY0ODlfMTc5MzIwNQ=='}
15:51:30: {'Kodeks': '1700786170', 'KodeksData': 'XzIzMTc0NDY0ODlfMTc5MzIwNQ=='}
15:51:30: {'Kodeks': '1700785289', 'KodeksData': 'XzIzMTc0NDY0ODlfMTc5MzIwNQ=='}
15:51:30: {'Kodeks': '1700784853', 'KodeksData': 'XzMyMTE4MDg2MDdfMTc5MzIwNQ=='}
15:51:31: {'Kodeks': '1700786486', 'KodeksData': 'XzMyMTE4MDg2MDdfMTc5MzIwNQ=='}
15:51:31: {'Kodeks': '1699461509', 'KodeksData': 'XzE2Nzc3MzQzXzE3OTMyMDU='}
15:51:32: {'Kodeks': '1700788483', 'KodeksData': 'XzMyMTE4MDg2MDdfMTc5MzIwNQ=='}
15:51:32: {'Kodeks': '1699461510', 'KodeksData': 'XzMyMTE4MDg2MDdfMTc5MzIwNQ=='}
15:51:32: {'Kodeks': '1700787076', 'KodeksData': 'XzMyMTE4MDg2MDdfMTc5MzIwNQ=='}
15:51:33: {'Kodeks': '1700782338', 'KodeksData': 'XzMyMTE4MDg2MDdfMTc5MzIwNQ=='}
